doc_1,doc_2,cosine_similarity
Englewood_City_School_District_AI_Policy.pdf,Englewood_Cliffs_School_District_AI_Policy.pdf,1.0000000000000009
Washington_Township_School_District_Gloucester_AI_Policy.pdf,Washington_Township_School_District_Morris_AI_Policy.pdf,1.0000000000000004
Delaware_Valley_Regional_High_School_District_AI_Policy.pdf,Frenchtown_Borough_School_District_AI_Policy.pdf,1.0000000000000002
Mansfield_Township_Elementary_School_District_AI_Policy.pdf,Mansfield_Township_School_District_AI_Policy.pdf,1.0000000000000002
Atlantic_Highlands_School_District_AI_Policy.pdf,Henry_Hudson_Regional_School_District_AI_Policy.pdf,1.0
Atlantic_Highlands_School_District_AI_Policy.pdf,Highlands_Borough_School_District_AI_Policy.pdf,1.0
Henry_Hudson_Regional_School_District_AI_Policy.pdf,Highlands_Borough_School_District_AI_Policy.pdf,1.0
Gloucester_County_Special_Services_School_District_AI_Policy.pdf,Gloucester_County_Vocational_Technical_School_District_AI_Policy.pdf,1.0
Ocean_Township_School_District_AI_Policy.pdf,Township_Of_Ocean_School_District_AI_Policy.pdf,0.9999999999999997
Monroe_Township_School_District_Gloucester_AI_Policy.pdf,Monroe_Township_School_District_Middlesex_AI_Policy.pdf,0.9999999999999994
Bloomingdale_School_District_AI_Policy.pdf,Glassboro_School_District_AI_Policy.pdf,0.9938273450276089
Somerset_County_Vocational_And_Technical_Schools_AI_Policy.pdf,Upper_Freehold_Regional_School_District_AI_Policy.pdf,0.9935263619459223
Bloomingdale_School_District_AI_Policy.pdf,South_Bound_Brook_Public_Schools_AI_Policy.pdf,0.9931115581348713
Glassboro_School_District_AI_Policy.pdf,South_Bound_Brook_Public_Schools_AI_Policy.pdf,0.9931115581348713
Pine_Hill_School_District_AI_Policy.pdf,Plumsted_Township_School_District_AI_Policy.pdf,0.9928440645159603
Oceanport_School_District_AI_Policy.pdf,South_Bound_Brook_Public_Schools_AI_Policy.pdf,0.9924605836139485
Pennsauken_Township_Board_Of_Education_School_District_AI_Policy.pdf,Plumsted_Township_School_District_AI_Policy.pdf,0.992386285179839
Pennsauken_Township_Board_Of_Education_School_District_AI_Policy.pdf,South_Bound_Brook_Public_Schools_AI_Policy.pdf,0.9923015948714116
Byram_Township_School_District_AI_Policy.pdf,Plumsted_Township_School_District_AI_Policy.pdf,0.992259338330385
Oceanport_School_District_AI_Policy.pdf,Voorhees_Township_School_District_AI_Policy.pdf,0.9922530121514657
Pennsauken_Township_Board_Of_Education_School_District_AI_Policy.pdf,Pine_Hill_School_District_AI_Policy.pdf,0.992209361264378
Bayonne_School_District_AI_Policy.pdf,West_Milford_Township_Public_School_District_AI_Policy.pdf,0.9921977245075362
Oceanport_School_District_AI_Policy.pdf,Pennsauken_Township_Board_Of_Education_School_District_AI_Policy.pdf,0.9921929630213687
Glassboro_School_District_AI_Policy.pdf,Rancocas_Valley_Regional_High_School_District_AI_Policy.pdf,0.9921347039907208
Bloomingdale_School_District_AI_Policy.pdf,Rancocas_Valley_Regional_High_School_District_AI_Policy.pdf,0.9921347039907208
Byram_Township_School_District_AI_Policy.pdf,Pine_Hill_School_District_AI_Policy.pdf,0.9920824370471739
Bloomingdale_School_District_AI_Policy.pdf,Oceanport_School_District_AI_Policy.pdf,0.9919552158925304
Glassboro_School_District_AI_Policy.pdf,Oceanport_School_District_AI_Policy.pdf,0.9919552158925304
Linwood_City_School_District_AI_Policy.pdf,Rancocas_Valley_Regional_High_School_District_AI_Policy.pdf,0.9919063465121739
Glassboro_School_District_AI_Policy.pdf,Pennsauken_Township_Board_Of_Education_School_District_AI_Policy.pdf,0.9917963081081517
Bloomingdale_School_District_AI_Policy.pdf,Pennsauken_Township_Board_Of_Education_School_District_AI_Policy.pdf,0.9917963081081517
Bloomingdale_School_District_AI_Policy.pdf,Linwood_City_School_District_AI_Policy.pdf,0.9917706022060712
Glassboro_School_District_AI_Policy.pdf,Linwood_City_School_District_AI_Policy.pdf,0.9917706022060712
Plumsted_Township_School_District_AI_Policy.pdf,Washington_Borough_School_District_AI_Policy.pdf,0.9917658531679245
Somerset_County_Vocational_And_Technical_Schools_AI_Policy.pdf,South_Bound_Brook_Public_Schools_AI_Policy.pdf,0.9917089366926091
Byram_Township_School_District_AI_Policy.pdf,Pennsauken_Township_Board_Of_Education_School_District_AI_Policy.pdf,0.9916250158039498
South_Bound_Brook_Public_Schools_AI_Policy.pdf,Upper_Freehold_Regional_School_District_AI_Policy.pdf,0.9916021252168271
Haworth_Public_School_District_AI_Policy.pdf,Hillside_Board_Of_Education_AI_Policy.pdf,0.9916013875045344
Pine_Hill_School_District_AI_Policy.pdf,Washington_Borough_School_District_AI_Policy.pdf,0.9915890398638871
Demarest_School_District_AI_Policy.pdf,Stanhope_School_District_AI_Policy.pdf,0.9915405698064079
Lenape_Valley_Regional_High_School_District_AI_Policy.pdf,South_Plainfield_School_District_AI_Policy.pdf,0.9914919385235139
Rancocas_Valley_Regional_High_School_District_AI_Policy.pdf,Upper_Freehold_Regional_School_District_AI_Policy.pdf,0.9914576612934076
Plumsted_Township_School_District_AI_Policy.pdf,Voorhees_Township_School_District_AI_Policy.pdf,0.991446222209642
Byram_Township_School_District_AI_Policy.pdf,Lenape_Valley_Regional_High_School_District_AI_Policy.pdf,0.9914035632934043
Rancocas_Valley_Regional_High_School_District_AI_Policy.pdf,South_Bound_Brook_Public_Schools_AI_Policy.pdf,0.99139030132831
Rancocas_Valley_Regional_High_School_District_AI_Policy.pdf,Somerset_County_Vocational_And_Technical_Schools_AI_Policy.pdf,0.991351820452937
Glassboro_School_District_AI_Policy.pdf,Upper_Freehold_Regional_School_District_AI_Policy.pdf,0.9913219783907484
Bloomingdale_School_District_AI_Policy.pdf,Upper_Freehold_Regional_School_District_AI_Policy.pdf,0.9913219783907484
Linwood_City_School_District_AI_Policy.pdf,South_Bound_Brook_Public_Schools_AI_Policy.pdf,0.9912812693748787
Pine_Hill_School_District_AI_Policy.pdf,Voorhees_Township_School_District_AI_Policy.pdf,0.9912690115374849
